time_iso8601,stars_cumulative
2020-03-21 00:00:00+00:00,502
2020-03-23 00:00:00+00:00,503
2020-03-24 00:00:00+00:00,504
2020-03-25 00:00:00+00:00,506
2020-03-26 00:00:00+00:00,507
2020-03-27 00:00:00+00:00,508
2020-04-01 00:00:00+00:00,509
2020-04-02 00:00:00+00:00,510
2020-04-04 00:00:00+00:00,511
2020-04-05 00:00:00+00:00,512
2020-04-08 00:00:00+00:00,513
2020-04-09 00:00:00+00:00,515
2020-04-10 00:00:00+00:00,516
2020-04-12 00:00:00+00:00,517
2020-04-14 00:00:00+00:00,518
2020-04-22 00:00:00+00:00,519
2020-04-23 00:00:00+00:00,521
2020-05-02 00:00:00+00:00,522
2020-05-04 00:00:00+00:00,525
2020-05-06 00:00:00+00:00,527
2020-05-08 00:00:00+00:00,529
2020-05-15 00:00:00+00:00,530
2020-05-17 00:00:00+00:00,531
2020-05-19 00:00:00+00:00,533
2020-05-21 00:00:00+00:00,534
2020-06-03 00:00:00+00:00,535
2020-06-04 00:00:00+00:00,536
2020-06-08 00:00:00+00:00,537
2020-06-09 00:00:00+00:00,538
2020-06-11 00:00:00+00:00,540
2020-06-13 00:00:00+00:00,541
2020-06-14 00:00:00+00:00,542
2020-06-16 00:00:00+00:00,543
2020-06-19 00:00:00+00:00,544
2020-06-27 00:00:00+00:00,545
2020-06-28 00:00:00+00:00,546
2020-07-06 00:00:00+00:00,547
2020-07-08 00:00:00+00:00,548
2020-07-11 00:00:00+00:00,550
2020-07-13 00:00:00+00:00,551
2020-07-15 00:00:00+00:00,552
2020-07-23 00:00:00+00:00,553
2020-07-24 00:00:00+00:00,554
2020-07-30 00:00:00+00:00,555
2020-08-06 00:00:00+00:00,556
2020-08-10 00:00:00+00:00,558
2020-08-11 00:00:00+00:00,559
2020-08-14 00:00:00+00:00,560
2020-08-18 00:00:00+00:00,562
2020-08-22 00:00:00+00:00,563
2020-08-26 00:00:00+00:00,564
2020-08-27 00:00:00+00:00,565
2020-08-28 00:00:00+00:00,569
2020-09-06 00:00:00+00:00,570
2020-09-08 00:00:00+00:00,571
2020-09-10 00:00:00+00:00,573
2020-09-11 00:00:00+00:00,574
2020-09-14 00:00:00+00:00,575
2020-09-16 00:00:00+00:00,576
2020-09-17 00:00:00+00:00,577
2020-09-20 00:00:00+00:00,578
2020-09-21 00:00:00+00:00,579
2020-09-22 00:00:00+00:00,580
2020-10-03 00:00:00+00:00,581
2020-10-07 00:00:00+00:00,582
2020-10-08 00:00:00+00:00,585
2020-10-14 00:00:00+00:00,586
2020-10-16 00:00:00+00:00,587
2020-10-18 00:00:00+00:00,588
2020-10-28 00:00:00+00:00,589
2020-10-30 00:00:00+00:00,590
2020-10-31 00:00:00+00:00,591
2020-11-01 00:00:00+00:00,592
2020-11-06 00:00:00+00:00,593
2020-11-08 00:00:00+00:00,594
2020-11-09 00:00:00+00:00,595
2020-11-18 00:00:00+00:00,596
2020-11-23 00:00:00+00:00,597
2020-11-25 00:00:00+00:00,598
2020-11-30 00:00:00+00:00,601
2020-12-01 00:00:00+00:00,602
2020-12-02 00:00:00+00:00,604
2020-12-06 00:00:00+00:00,605
2020-12-13 00:00:00+00:00,606
2020-12-15 00:00:00+00:00,607
2020-12-16 00:00:00+00:00,608
2020-12-18 00:00:00+00:00,609
2020-12-21 00:00:00+00:00,610
2020-12-30 00:00:00+00:00,611
2020-12-31 00:00:00+00:00,612
2021-01-05 00:00:00+00:00,613
2021-01-08 00:00:00+00:00,614
2021-01-11 00:00:00+00:00,615
2021-01-14 00:00:00+00:00,616
2021-01-15 00:00:00+00:00,617
2021-01-20 00:00:00+00:00,618
2021-01-21 00:00:00+00:00,619
2021-01-23 00:00:00+00:00,620
2021-01-25 00:00:00+00:00,622
2021-01-27 00:00:00+00:00,623
